date,metal,ticker,unit,open,high,low,close,volume,source,fetched_at
2025-07-18,白银,SI=F,美元/金衡盎司,38.51499938964844,38.51499938964844,38.222999572753906,38.222999572753906,52,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
2025-07-21,白银,SI=F,美元/金衡盎司,38.994998931884766,39.125,38.994998931884766,39.10100173950195,73,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
2025-07-22,白银,SI=F,美元/金衡盎司,38.915000915527344,39.35499954223633,38.915000915527344,39.31999969482422,67,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
2025-07-23,白银,SI=F,美元/金衡盎司,39.40999984741211,39.40999984741211,39.220001220703125,39.27799987792969,51,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
2025-07-24,白银,SI=F,美元/金衡盎司,39.060001373291016,39.130001068115234,38.84000015258789,39.020999908447266,59,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
2025-07-25,白银,SI=F,美元/金衡盎司,38.93000030517578,38.93000030517578,38.040000915527344,38.16699981689453,7,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
2025-07-28,白银,SI=F,美元/金衡盎司,38.130001068115234,38.189998626708984,38.02000045776367,38.0260009765625,154,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
2025-07-29,白银,SI=F,美元/金衡盎司,38.130001068115234,38.130001068115234,38.060001373291016,38.08399963378906,1109,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
2025-07-30,白银,SI=F,美元/金衡盎司,38.165000915527344,38.165000915527344,36.775001525878906,37.566001892089844,352,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
2025-07-31,白银,SI=F,美元/金衡盎司,36.84000015258789,36.84000015258789,36.551998138427734,36.551998138427734,89,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
2025-08-01,白银,SI=F,美元/金衡盎司,36.345001220703125,36.7869987487793,36.345001220703125,36.7869987487793,95,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
2025-08-04,白银,SI=F,美元/金衡盎司,37.14500045776367,37.29999923706055,37.14500045776367,37.19200134277344,488,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
2025-08-05,白银,SI=F,美元/金衡盎司,37.60499954223633,37.6870002746582,37.60499954223633,37.6870002746582,3,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
2025-08-06,白银,SI=F,美元/金衡盎司,37.7599983215332,37.76599884033203,37.7599983215332,37.76599884033203,6,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
2025-08-07,白银,SI=F,美元/金衡盎司,38.33000183105469,38.375,38.15800094604492,38.15800094604492,130,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
2025-08-08,白银,SI=F,美元/金衡盎司,38.48500061035156,38.619998931884766,38.38999938964844,38.41699981689453,54,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
2025-08-11,白银,SI=F,美元/金衡盎司,38.040000915527344,38.040000915527344,37.6619987487793,37.6619987487793,35,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
2025-08-12,白银,SI=F,美元/金衡盎司,37.55500030517578,37.89899826049805,37.55500030517578,37.89899826049805,19,Yahoo Finance,2026-07-18T11:20:08.770899+00:00
