date,symbol,variety,open,high,low,close,settle,pre_settle,volume,open_interest,turnover,source,source_url,selection_rule,unit
2026-04-01,SN2605,SN,369490.0,378400.0,366210.0,375210,372160,369270,225356,39547,8387018.79,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260401.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-02,SN2605,SN,374800.0,377250.0,357080.0,360820,368580,372160,266415,38283,9819597.415,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260402.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-03,SN2605,SN,358810.0,368660.0,358600.0,365740,365250,368580,204746,35385,7478528.227,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260403.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-07,SN2605,SN,363800.0,369990.0,360000.0,363500,364240,365250,114191,35146,4159318.592,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260407.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-08,SN2605,SN,365500.0,381680.0,362060.0,378990,371570,364240,218146,36661,8105840.15,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260408.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-09,SN2605,SN,377700.0,380470.0,365540.0,369390,372780,371570,181766,34851,6776007.781,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260409.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-10,SN2605,SN,371000.0,379500.0,369400.0,374790,375330,372780,192518,34398,7225778.79,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260410.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-13,SN2605,SN,378500.0,379500.0,365800.0,372060,373520,375330,181634,32539,6784457.343,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260413.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-14,SN2605,SN,372370.0,386000.0,371010.0,382930,378350,373520,205829,32711,7787683.681,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260414.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-15,SN2605,SN,386760.0,398410.0,384790.0,388870,391540,378350,256687,33287,10050464.27,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260415.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-16,SN2605,SN,389800.0,392870.0,385730.0,391260,389620,391540,193465,32077,7537837.463,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260416.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-17,SN2605,SN,389000.0,392880.0,386000.0,390660,390040,389620,178952,29891,6979927.134,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260417.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-20,SN2605,SN,393000.0,399400.0,386730.0,390880,393090,390040,183422,28656,7210258.884,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260420.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-21,SN2605,SN,392890.0,398950.0,390660.0,392300,394990,393090,180129,26101,7114928.905,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260421.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-22,SN2605,SN,395000.0,395470.0,387010.0,394060,391630,394990,142861,24120,5594996.451,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260422.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-23,SN2605,SN,392060.0,395760.0,384600.0,390730,391070,391630,137466,19207,5375971.161,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260423.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-24,SN2605,SN,393040.0,393890.0,386120.0,387630,390340,391070,107870,17058,4210664.411,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260424.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-27,SN2606,SN,390780.0,394650.0,389940.0,392290,392470,391040,129380,39069,5077885.415,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260427.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-28,SN2606,SN,392310.0,392510.0,380660.0,384600,385460,392470,187538,39956,7228902.238,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260428.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-29,SN2606,SN,383050.0,388940.0,380110.0,388300,384190,385460,153966,41062,5915242.84,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260429.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-04-30,SN2606,SN,385510.0,387690.0,378500.0,387370,383270,384190,182304,38310,6987223.888,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260430.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-05-06,SN2606,SN,392400.0,416970.0,390870.0,415370,404870,383270,174856,49343,7079434.303,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260506.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
2026-05-07,SN2606,SN,416500.0,428470.0,415270.0,421500,421310,404870,314914,52027,13267699.617,SHFE official,https://www.shfe.com.cn/data/tradedata/future/dailydata/kx20260507.dat,每日成交量最高的 SHFE 锡合约,人民币/吨
